18306,"K00V","small_airport","Meadow Lake Airport",38.9458007812,-104.569999695,6874,"NA","US","US-CO","Colorado Springs","no","KFLY",,"FLY","http://www.2mla.com/","https://en.wikipedia.org/wiki/Meadow_Lake_Airport_(Colorado)","00V"
18308,"K01G","small_airport","Perry-Warsaw Airport",42.741453,-78.052646,1559,"NA","US","US-NY","Perry","no","K01G",,"01G",,"https://en.wikipedia.org/wiki/Perry-Warsaw_Airport",
18309,"K01M","small_airport","Tishomingo County Airport",34.490924,-88.200996,578,"NA","US","US-MS","Belmont","no","K01M",,"01M",,,
18310,"K02A","small_airport","Chilton County Airport / Gragg-Wade Field",32.850498,-86.611397,585,"NA","US","US-AL","Clanton","no","K02A",,"02A","http://www.clanton.al.us/info/airport.html","https://en.wikipedia.org/wiki/Chilton_County_Airport",
18311,"K02C","small_airport","Capitol Drive Airport",43.090222,-88.17816,850,"NA","US","US-WI","Brookfield","no","K02C",,"02C","http://capitoldriveairport.com/","https://en.wikipedia.org/wiki/Capitol_Airport","Capitol Drive Airport"
18312,"K02G","small_airport","Columbiana County Airport",40.673302,-80.641403,1160,"NA","US","US-OH","East Liverpool","no","K02G",,"02G",,"https://en.wikipedia.org/wiki/Columbiana_County_Airport",
18313,"K03B","small_airport","Mansfield Municipal Airport",37.126834,-92.621594,1500,"NA","US","US-MO","Mansfield","no","K03B",,"03B",,,"MO14"
18314,"K03D","small_airport","Memphis Memorial Airport",40.4473,-92.226997,813,"NA","US","US-MO","Memphis","no","K03D",,"03D",,,"MO16"
18315,"K04A","small_airport","Frank Sikes Airport",31.7363,-86.262497,300,"NA","US","US-AL","Luverne","no",,,"04A",,"https://en.wikipedia.org/wiki/Frank_Sikes_Airport",
18316,"K04G","small_airport","Lansdowne Airport",41.130501,-80.619598,1044,"NA","US","US-OH","Youngstown","no",,,"04G",,"https://en.wikipedia.org/wiki/Lansdowne_Airport",
18317,"K04M","small_airport","Calhoun County Airport",33.930038,-89.343266,383,"NA","US","US-MS","Pittsboro","no","K04M",,"04M",,"https://en.wikipedia.org/wiki/Calhoun_County_Airport_(Mississippi)",
18318,"K04Y","small_airport","Hawley Municipal Airport",46.883801,-96.350304,1208,"NA","US","US-MN","Hawley","no",,,"04Y",,"https://en.wikipedia.org/wiki/Hawley_Municipal_Airport",
18319,"K05C","small_airport","Griffith-Merrillville Airport",41.519798,-87.399498,634,"NA","US","US-IN","Griffith","no",,,"05C",,"https://en.wikipedia.org/wiki/Griffith-Merrillville_Airport",
18320,"K05D","small_airport","New Town Municipal Airport",47.966996,-102.477997,1925,"NA","US","US-ND","New Town","no",,,"05D",,,
18321,"K05U","small_airport","Eureka Airport",39.604198455799995,-116.004997253,5954,"NA","US","US-NV","Eureka","no","05U","EUE","05U",,"https://en.wikipedia.org/wiki/Eureka_Airport_(Nevada)","Booth Bailey Field"
18322,"K06A","small_airport","Moton Field Municipal Airport",32.460499,-85.680002,264,"NA","US","US-AL","Tuskegee","no","K06A",,"06A",,"https://en.wikipedia.org/wiki/Moton_Field_Municipal_Airport",
18323,"K06C","small_airport","Schaumburg Regional Airport",41.9892997742,-88.1011962891,801,"NA","US","US-IL","Chicago/Schaumburg","no","06C",,"06C","http://www.ci.schaumburg.il.us/trans/airport1/Pages/default.aspx","https://en.wikipedia.org/wiki/Schaumburg_Regional_Airport","EIT"
18324,"K06D","small_airport","Rolla Municipal Airport",48.8843,-99.620903,1823,"NA","US","US-ND","Rolla","no","K06D",,"06D",,,
18325,"K06M","small_airport","City of Eupora Airport",33.534622,-89.312975,450,"NA","US","US-MS","Eupora","no","K06M",,"06M",,,
18326,"K06U","small_airport","Jackpot Airport/Hayden Field",41.97600173949999,-114.657997131,5213,"NA","US","US-NV","Jackpot","no","06U","KPT","06U",,"https://en.wikipedia.org/wiki/Jackpot_Airport",
20238,"K07","small_airport","Rolla Downtown Airport",37.935699,-91.813499,987,"NA","US","US-MO","Rolla","no","K07","RLA","K07",,"https://en.wikipedia.org/wiki/Rolla_Downtown_Airport",
18327,"K07A","small_airport","Franklin Field",32.166801,-85.809702,300,"NA","US","US-AL","Union Springs","no","K07A",,"07A",,"https://en.wikipedia.org/wiki/Franklin_Field_(Alabama)",
18328,"K07F","small_airport","Gladewater Municipal Airport",32.528801,-94.971702,296,"NA","US","US-TX","Gladewater","no","K07F",,"07F",,,
18329,"K07R","small_airport","Bishop-Windham Airport",27.6103,-97.752614,55,"NA","US","US-TX","Bishop","no",,,"07R",,"https://en.wikipedia.org/wiki/Bishop_Municipal_Airport","Bishop Municipal"
18330,"K07V","small_airport","Cuchara Valley At La Veta Airport",37.5238,-105.009002,7153,"NA","US","US-CO","La Veta","no","K07V",,"07V",,,
18332,"K08A","small_airport","Wetumpka Municipal Airport",32.5294,-86.328201,197,"NA","US","US-AL","Elmore","no",,,"08A",,"https://en.wikipedia.org/wiki/Wetumpka_Municipal_Airport","Air Evac 64 Heliport, Wetumpka City"
18333,"K08C","small_airport","Riverview Airport",42.935902,-85.805,603,"NA","US","US-MI","Georgetown Township","no",,,"08C",,"https://en.wikipedia.org/wiki/Riverview_Airport",
18334,"K08D","small_airport","Stanley Municipal Airport",48.3008,-102.405998,2245,"NA","US","US-ND","Stanley","no",,,"08D",,,
18335,"K08K","small_airport","Harvard State Airport",40.651402,-98.079803,1815,"NA","US","US-NE","Harvard","no",,,"08K",,"https://en.wikipedia.org/wiki/Harvard_State_Airport","Harvard AAF"
18336,"K08M","small_airport","Carthage-Leake County Airport",32.7612,-89.530098,454,"NA","US","US-MS","Carthage","no",,,"08M",,,
18337,"K09A","small_airport","Butler-Choctaw County Airport",32.119301,-88.127502,134,"NA","US","US-AL","Butler","no",,,"09A",,"https://en.wikipedia.org/wiki/Butler%E2%80%93Choctaw_County_Airport",
18338,"K09J","small_airport","Jekyll Island Airport",31.074499,-81.427803,11,"NA","US","US-GA","Jekyll Island","no","09J",,"09J",,"https://en.wikipedia.org/wiki/Jekyll_Island_Airport",
18339,"K09K","small_airport","Sargent Municipal Airport",41.634903,-99.342161,2313,"NA","US","US-NE","Sargent","no",,,"09K",,,
18340,"K09M","small_airport","Charleston Municipal Airport",33.991501,-90.078621,175,"NA","US","US-MS","Charleston","no",,,"09M",,"https://en.wikipedia.org/wiki/Charleston_Municipal_Airport",
18341,"K09R","small_airport","Tyler County Airport",30.774768,-94.458818,388,"NA","US","US-TX","Woodville","no",,,"09R",,,
18342,"K0A2","closed","Hester Memorial Airport",34.090563,-82.565281,517,"NA","US","US-SC","Calhoun Falls","no",,,,,,"0A2"
18343,"K0A3","small_airport","Smithville Municipal Airport",35.985298,-85.809303,1084,"NA","US","US-TN","Smithville","no",,,"0A3",,,
18344,"K0A4","small_airport","Johnson City Airport",36.363701,-82.308998,1550,"NA","US","US-TN","Johnson City","no","K0A4",,"0A4",,"https://en.wikipedia.org/wiki/Johnson_City_STOLport",
18345,"K0A7","small_airport","Hendersonville Airport",35.308258,-82.432948,2084,"NA","US","US-NC","Hendersonville","no",,,"0A7",,,
18346,"K0A8","small_airport","Bibb County Airport",32.93691,-87.090533,251,"NA","US","US-AL","Centreville","no","K0A8",,"0A8",,"https://en.wikipedia.org/wiki/Bibb_County_Airport",
