252221,16102,"AK07",1900,40,"GRVL",0,0,"04",,,,,,"22",,,,,
252222,16102,"AK07",1800,40,"GRVL",0,0,"14",,,,,,"32",,,,,
267707,18010,"IL33",40,40,"UNKNOWN",0,0,"H1",,,,,,,,,,251,
245917,18302,"K00C",5010,50,"ASPH-G",1,0,"01",37.196800231933594,-107.87200164794922,6627,21,,"19",37.209598541259766,-107.86599731445312,6684,201,
239640,18303,"K00F",4400,75,"ASPH-E",1,0,"10",45.474998474121094,-105.46199798583984,,114,,"28",45.47010040283203,-105.44599914550781,,214.6,
243149,18304,"K00M",3000,50,"ASPH-F",1,0,"16",31.957500457763672,-89.23690032958984,330,161,,"34",31.949899673461914,-89.23359680175781,358,341,
240853,18305,"K00R",3700,60,"ASPH-G",1,0,"12",30.689199447631836,-95.02239990234375,150,131,,"30",30.682600021362305,-95.01349639892578,150,311,
241703,18306,"K00V",2084,35,"ASPH-GRVL-F",0,0,"08",38.945899963378906,-104.56999969482422,,91,,"26",38.94580078125,-104.56300354003906,,271,
241704,18306,"K00V",6000,60,"ASPH-F",1,0,"15",38.95349884033203,-104.57499694824219,6874,160,,"33",38.9379997253418,-104.56800079345703,6787,340,
241705,18306,"K00V",1800,15,"ASPH-TURF-G",0,0,"N",,,,,,"S",,,,,
240374,18308,"K01G",1830,60,"TURF-G",0,0,"04",42.739898681640625,-78.05139923095703,,31,,"22",42.74399948120117,-78.04869842529297,,211,200
240375,18308,"K01G",3500,60,"ASPH-G",1,0,"10",42.741798400878906,-78.05690002441406,,90,,"28",42.74169921875,-78.0438003540039,,270,355
245687,18309,"K01M",4000,60,"ASPH-G",1,0,"17",34.49700164794922,-88.20279693603516,577,165,500,"35",34.48640060424805,-88.19940185546875,,315.7,977
242921,18310,"K02A",4008,100,"ASPH-F",1,0,"08",32.84939956665039,-86.6177978515625,585,78,819,"26",32.851600646972656,-86.6050033569336,566,258,
244117,18311,"K02C",3501,44,"ASPH-G",1,0,"03",43.084598541259766,-88.18000030517578,840,19,500,"21",43.09370040893555,-88.17569732666016,830,233,195
244118,18311,"K02C",3395,100,"TURF-F",0,0,"09",43.09080123901367,-88.17980194091797,830,90,,"27",43.09080123901367,-88.17510223388672,830,310,
244119,18311,"K02C",1600,80,"TURF-F",0,0,"18",43.089900970458984,-88.18060302734375,,179,,"36",43.08679962158203,-88.18060302734375,,336,
244795,18312,"K02G",3503,75,"ASPH-G",1,0,"07",40.67100143432617,-80.64689636230469,1142,61,,"25",40.67570114135742,-80.63590240478516,1160,241,
244021,18313,"K03B",3000,50,"ASPH-F",1,0,"07",37.1260986328125,-92.62580108642578,,68.6,,"25",37.127601623535156,-92.61609649658203,,255.3,
240234,18314,"K03D",3300,60,"CONC-F",1,0,"12",40.44960021972656,-92.23200225830078,,122,,"30",40.444801330566406,-92.2219009399414,,318.6,
242805,18315,"K04A",4640,80,"ASPH-F",1,0,"04",31.731399536132812,-86.26730346679688,,40,740,"22",31.741199493408203,-86.25769805908203,,220.5,875
243578,18316,"K04G",3073,50,"ASPH-F",0,0,"02",41.126399993896484,-80.62110137939453,1015,16,,"20",41.134498596191406,-80.61810302734375,1044,196,
241179,18317,"K04M",3200,60,"ASPH-G",1,0,"15",33.933799743652344,-89.34559631347656,383,148,,"33",33.92639923095703,-89.34010314941406,,192.9,
243065,18318,"K04Y",3404,75,"ASPH-G",1,0,"16",46.88819885253906,-96.35240173339844,1208,161,,"34",46.879398345947266,-96.34809875488281,1199,341,
245289,18319,"K05C",4900,75,"ASPH-G",1,0,"08",41.518699645996094,-87.4083023071289,634,80,,"26",41.520999908447266,-87.39070129394531,632,260,1120
244065,18320,"K05D",3000,50,"ASPH-G",1,0,"12",47.96979904174805,-102.48300170898438,1910,131,,"30",47.96440124511719,-102.4729995727539,1924,311.5,150
243343,18321,"K05U",7300,60,"ASPH-G",1,0,"17",39.60969924926758,-116.00299835205078,,190.9,,"35",39.589698791503906,-116.00700378417969,,1.5,
241040,18322,"K06A",5003,100,"ASPH-G",1,0,"13",32.46480178833008,-85.6863021850586,264,129,,"31",32.456199645996094,-85.67369842529297,264,309,
239942,18323,"K06C",3800,100,"CONC-G",1,0,"11",41.990699768066406,-88.10800170898438,801,105.2,,"29",41.98759841918945,-88.09449768066406,801,228,
244832,18324,"K06D",2400,95,"TURF-G",0,0,"07",48.88330078125,-99.62449645996094,1821,82,,"25",48.884300231933594,-99.61470031738281,1811,262,
244833,18324,"K06D",4300,75,"ASPH-G",1,0,"14",48.88990020751953,-99.62660217285156,1823,150,,"32",48.87969970703125,-99.61689758300781,1816,330,
242136,18325,"K06M",3000,60,"ASPH-G",1,0,"14",33.53810119628906,-89.3197021484375,450,147,,"32",33.53120040893555,-89.31430053710938,427,359.5,
242175,18326,"K06U",6200,60,"ASPH-E",1,0,"15",41.9838981628418,-114.66100311279297,,164.3,,"33",41.96780014038086,-114.65499877929688,,359,
245330,20238,"K07",3028,38,"ASPH-P",1,0,"09",37.9359016418457,-91.81880187988281,956,93,,"27",37.93539810180664,-91.80829620361328,964,273,445
241847,18327,"K07A",3660,80,"ASPH-G",1,0,"14",32.16999816894531,-85.8136978149414,292,139,,"32",32.16239929199219,-85.80590057373047,300,359,
240923,18328,"K07F",3301,75,"ASPH-G",1,0,"14",32.533199310302734,-94.97530364990234,285,143,,"32",32.5260009765625,-94.96880340576172,296,323,
240924,18328,"K07F",2301,50,"ASPH-G",0,0,"17",32.53089904785156,-94.97129821777344,292,179,,"35",32.524600982666016,-94.97119903564453,294,359,
